video_id,topic,tone,target,style
1,energy,negative,Trump,factual
2,economy,negative,Trump,factual
3,energy,negative,Trump,factual
4,energy,negative,Trump,factual
5,economy,negative,Trump,factual
6,energy,negative,Trump,factual
7,energy,negative,Trump,factual
8,economy,negative,Trump,factual
9,energy,negative,Trump,emotional
10,other,negative,Trump,factual
11,energy,negative,Trump,factual
12,economy,negative,Trump,factual
13,economy,negative,Trump,emotional
14,other,negative,Trump,factual
15,economy,negative,Trump,emotional
16,safety,negative,Trump,factual
17,energy,negative,Trump,factual
18,healthcare,negative,Trump,factual
19,economy,negative,Trump,factual
20,healthcare,negative,Trump,factual
21,economy,negative,Trump,factual
22,economy,negative,Trump,factual
23,other,negative,Trump,factual
24,other,negative,Trump,factual
25,economy,negative,Trump,factual
26,economy,negative,Trump,factual
27,economy,negative,Trump,factual
28,transportation,negative,Trump,factual
29,education,negative,Trump,factual
30,democracy,negative,Trump,factual
31,economy,negative,Trump,factual
32,economy,negative,Trump,factual
33,other,negative,Trump,factual
34,healthcare,negative,Trump,factual
35,energy,negative,Trump,factual
36,other,negative,Trump,factual
37,other,negative,Trump,factual
38,other,negative,Trump,factual
39,economy,negative,Trump,factual
40,energy,negative,Trump,emotional
41,economy,negative,Trump,factual
42,education,negative,Trump,factual
43,economy,negative,Trump,emotional
44,education,negative,Trump,factual
45,education,negative,Trump,factual
46,economy,negative,Trump,factual
47,healthcare,negative,Trump,emotional
48,economy,negative,Trump,factual
49,other,negative,Trump,emotional
50,economy,negative,Trump,factual
51,economy,negative,Trump,factual
52,democracy,negative,Trump,factual
53,other,negative,Trump,factual
54,economy,negative,Trump,emotional
55,other,negative,Trump,factual
56,healthcare,negative,Trump,factual
57,economy,negative,Trump,factual
58,healthcare,negative,Trump,emotional
59,economy,negative,Trump,factual
60,economy,negative,Trump,emotional
61,economy,negative,Trump,factual
62,healthcare,negative,Trump,emotional
63,social welfare,negative,Trump,factual
64,social welfare,negative,Trump,emotional
65,social welfare,negative,Trump,factual
66,energy,negative,Trump,factual
67,healthcare,negative,Trump,factual
68,veterans,negative,Trump,factual
69,economy,negative,Trump,factual
70,finance,negative,Trump,factual
71,economy,negative,Trump,factual
72,education,negative,Trump,factual
73,education,negative,Trump,factual
74,education,negative,Trump,factual
75,healthcare,negative,Trump,factual
76,economy,negative,Trump,factual
77,education,negative,Trump,factual
78,veterans,negative,Trump,factual
79,welfare,negative,Trump,factual
80,veterans,negative,Trump,factual
81,energy,negative,Trump,factual
82,economy,negative,Trump,emotional
83,healthcare,negative,Trump,factual
84,healthcare,negative,Trump,emotional
85,economy,negative,Trump,factual
86,energy,negative,Trump,factual
87,healthcare,negative,Trump,factual
88,healthcare,negative,Trump,factual
89,education,negative,Trump,factual
90,healthcare,negative,Trump,emotional
91,economy,negative,Trump,factual
92,healthcare,negative,Trump,factual
93,environment,negative,Trump,factual
94,economy,negative,Trump,factual
95,healthcare,negative,Trump,emotional
96,economy,negative,Trump,factual
97,economy,negative,Trump,emotional
98,healthcare,negative,Trump,factual
99,economy,negative,Trump,emotional
100,economy,negative,Trump,factual
101,healthcare,negative,Trump,factual
102,economy,negative,Trump,factual
103,healthcare,negative,Trump,factual
104,healthcare,negative,Trump,emotional
105,healthcare,negative,Trump,factual
106,economy,negative,Trump,factual
107,healthcare,negative,Trump,factual
108,economy,negative,Trump,factual
109,healthcare,negative,Trump,factual
110,economy,negative,Trump,factual
111,economy,negative,Trump,factual
112,healthcare,negative,Trump,factual
113,economy,negative,Trump,factual
114,energy,negative,Trump,emotional
115,healthcare,negative,Trump,factual
116,healthcare,negative,Trump,factual
117,healthcare,negative,Trump,factual
118,healthcare,negative,Trump,factual
119,housing,negative,Trump,emotional
120,economy,negative,Trump,factual
121,healthcare,negative,Trump,factual
122,economy,negative,Trump,factual
123,healthcare,negative,Trump,factual
124,economy,negative,Trump,factual
125,economy,negative,Trump,emotional
126,healthcare,negative,Trump,factual
127,economy,negative,Trump,factual
